,location,bhk,total_sqft,bath,price,price_per_sqft
34,2nd Phase Judicial Layout,2,1150.0,2.0,40.25,3500.0
35,2nd Stage Nagarbhavi,4,1500.0,4.0,220.0,14666.666666666666
36,2nd Stage Nagarbhavi,6,3000.0,8.0,451.0,15033.333333333334
37,2nd Stage Nagarbhavi,6,2400.0,8.0,450.0,18750.0
38,2nd Stage Nagarbhavi,4,1350.0,4.0,200.0,14814.814814814816
39,2nd Stage Nagarbhavi,4,1200.0,4.0,225.0,18750.0
40,2nd Stage Nagarbhavi,4,1500.0,3.0,230.0,15333.333333333334
41,5th Block Hbr Layout,2,1206.0,2.0,56.0,4643.449419568822
42,5th Block Hbr Layout,3,1270.0,2.0,70.0,5511.811023622047
43,5th Block Hbr Layout,2,1312.0,2.0,69.0,5259.1463414634145
44,5th Block Hbr Layout,2,1100.0,2.0,48.0,4363.636363636364
45,5th Block Hbr Layout,5,3600.0,5.0,130.0,3611.1111111111113
46,5th Block Hbr Layout,6,5100.0,5.0,300.0,5882.35294117647
47,5th Phase JP Nagar,2,1075.0,2.0,60.0,5581.395348837209
48,5th Phase JP Nagar,2,1150.0,3.0,52.5,4565.217391304348
49,5th Phase JP Nagar,2,1256.0,2.0,62.8,5000.0
50,5th Phase JP Nagar,2,1207.0,2.0,63.0,5219.552609776305
51,5th Phase JP Nagar,3,1725.0,2.0,100.0,5797.101449275362
52,5th Phase JP Nagar,2,1440.0,2.0,60.0,4166.666666666667
53,5th Phase JP Nagar,3,1700.0,2.0,100.0,5882.35294117647
54,5th Phase JP Nagar,3,1485.0,2.0,67.0,4511.784511784512
55,5th Phase JP Nagar,5,2500.0,5.0,110.0,4400.0
56,5th Phase JP Nagar,1,600.0,1.0,30.0,5000.0
57,5th Phase JP Nagar,2,1390.0,2.0,65.0,4676.258992805755
58,5th Phase JP Nagar,2,1256.0,2.0,62.8,5000.0
59,5th Phase JP Nagar,2,1000.0,2.0,48.0,4800.0
60,5th Phase JP Nagar,3,1350.0,2.0,75.0,5555.555555555556
61,5th Phase JP Nagar,1,552.0,1.0,23.5,4257.246376811594
62,5th Phase JP Nagar,2,1200.0,2.0,51.0,4250.0
63,5th Phase JP Nagar,3,1240.0,3.0,60.0,4838.709677419355
64,5th Phase JP Nagar,3,1550.0,3.0,75.0,4838.709677419355
65,5th Phase JP Nagar,3,1485.0,2.0,66.0,4444.444444444444
66,5th Phase JP Nagar,2,1030.0,2.0,57.0,5533.980582524272
67,5th Phase JP Nagar,2,1200.0,2.0,68.0,5666.666666666667
68,5th Phase JP Nagar,2,1190.0,2.0,61.8,5193.27731092437
69,5th Phase JP Nagar,5,4000.0,5.0,170.0,4250.0
70,5th Phase JP Nagar,2,1080.0,2.0,53.0,4907.407407407408
71,5th Phase JP Nagar,2,1041.0,2.0,54.0,5187.319884726225
72,5th Phase JP Nagar,2,812.0,2.0,42.0,5172.413793103448
73,5th Phase JP Nagar,2,1010.0,2.0,57.0,5643.564356435643
74,5th Phase JP Nagar,3,1450.0,2.0,73.0,5034.482758620689
75,5th Phase JP Nagar,2,1075.0,2.0,60.0,5581.395348837209
76,6th Phase JP Nagar,2,1192.0,2.0,74.0,6208.053691275168
77,6th Phase JP Nagar,2,1180.0,2.0,80.0,6779.661016949152
78,6th Phase JP Nagar,4,3245.0,4.0,250.0,7704.160246533128
79,6th Phase JP Nagar,3,1645.0,3.0,100.0,6079.0273556231
80,6th Phase JP Nagar,2,1140.0,2.0,65.0,5701.754385964912
81,6th Phase JP Nagar,3,2040.0,3.0,200.0,9803.921568627451
82,6th Phase JP Nagar,2,1213.0,2.0,63.0,5193.734542456719
83,6th Phase JP Nagar,2,1216.0,2.0,60.0,4934.210526315789
84,6th Phase JP Nagar,2,1460.0,2.0,80.0,5479.45205479452
85,6th Phase JP Nagar,3,2003.0,3.0,200.0,9985.022466300548
86,6th Phase JP Nagar,3,1810.0,3.0,131.0,7237.5690607734805
87,6th Phase JP Nagar,3,1515.0,2.0,135.0,8910.89108910891
88,6th Phase JP Nagar,2,1192.0,2.0,75.0,6291.946308724832
89,6th Phase JP Nagar,2,1280.0,2.0,88.0,6875.0
90,7th Phase JP Nagar,2,1080.0,2.0,72.0,6666.666666666667
91,7th Phase JP Nagar,2,1270.0,2.0,93.0,7322.834645669292
92,7th Phase JP Nagar,3,1420.0,2.0,100.0,7042.2535211267605
93,7th Phase JP Nagar,3,1850.0,3.0,150.0,8108.108108108108
94,7th Phase JP Nagar,2,1245.0,2.0,94.0,7550.2008032128515
95,7th Phase JP Nagar,2,1175.0,2.0,82.0,6978.723404255319
96,7th Phase JP Nagar,3,1400.0,2.0,95.0,6785.714285714285
97,7th Phase JP Nagar,3,2225.0,3.0,160.0,7191.011235955056
98,7th Phase JP Nagar,2,1050.0,2.0,71.0,6761.9047619047615
99,7th Phase JP Nagar,2,1100.0,2.0,46.0,4181.818181818182
100,7th Phase JP Nagar,2,918.0,2.0,50.49,5500.0
101,7th Phase JP Nagar,3,1450.0,2.0,100.0,6896.551724137931
102,7th Phase JP Nagar,2,1190.0,2.0,49.98,4200.0
103,7th Phase JP Nagar,3,1420.0,2.0,96.0,6760.56338028169
104,7th Phase JP Nagar,3,1680.0,3.0,120.0,7142.857142857143
105,7th Phase JP Nagar,2,980.0,2.0,69.0,7040.816326530612
106,7th Phase JP Nagar,2,1180.0,2.0,72.0,6101.6949152542375
107,7th Phase JP Nagar,3,1050.0,2.0,57.0,5428.571428571428
108,7th Phase JP Nagar,3,1343.0,2.0,56.41,4200.297840655249
109,7th Phase JP Nagar,3,1405.0,2.0,59.01,4200.0
110,7th Phase JP Nagar,3,1400.0,3.0,115.0,8214.285714285714
111,7th Phase JP Nagar,2,1270.0,2.0,83.0,6535.433070866142
112,7th Phase JP Nagar,4,3300.0,4.0,150.0,4545.454545454545
113,7th Phase JP Nagar,4,2503.0,4.0,188.0,7510.986815821015
114,7th Phase JP Nagar,3,2200.0,3.0,190.0,8636.363636363636
115,7th Phase JP Nagar,3,1250.0,3.0,65.0,5200.0
116,7th Phase JP Nagar,3,1385.0,2.0,58.17,4200.0
117,7th Phase JP Nagar,3,1575.0,2.0,110.0,6984.126984126984
118,7th Phase JP Nagar,3,1850.0,3.0,140.0,7567.5675675675675
119,7th Phase JP Nagar,3,1575.0,2.0,120.0,7619.047619047619
120,7th Phase JP Nagar,3,1850.0,3.0,150.0,8108.108108108108
121,7th Phase JP Nagar,3,1680.0,3.0,120.0,7142.857142857143
122,7th Phase JP Nagar,2,1175.0,2.0,82.5,7021.276595744681
123,7th Phase JP Nagar,3,3300.0,4.0,160.0,4848.484848484848
124,7th Phase JP Nagar,3,2200.0,4.0,105.0,4772.727272727273
125,7th Phase JP Nagar,2,1215.0,2.0,90.0,7407.407407407408
126,7th Phase JP Nagar,2,1050.0,2.0,75.0,7142.857142857143
127,7th Phase JP Nagar,3,1300.0,3.0,89.13,6856.153846153846
128,7th Phase JP Nagar,2,1130.0,2.0,73.0,6460.1769911504425
129,7th Phase JP Nagar,3,1450.0,3.0,100.0,6896.551724137931
130,7th Phase JP Nagar,3,1350.0,3.0,58.0,4296.2962962962965
131,7th Phase JP Nagar,2,1050.0,2.0,50.0,4761.9047619047615
132,7th Phase JP Nagar,2,1275.0,2.0,87.0,6823.529411764706
133,7th Phase JP Nagar,3,1460.0,3.0,70.0,4794.520547945205
134,7th Phase JP Nagar,3,1650.0,3.0,110.0,6666.666666666667
135,7th Phase JP Nagar,2,850.0,2.0,42.0,4941.176470588235
136,7th Phase JP Nagar,3,1680.0,3.0,117.0,6964.285714285715
137,7th Phase JP Nagar,3,1850.0,3.0,150.0,8108.108108108108
138,7th Phase JP Nagar,2,1236.0,2.0,61.33,4961.974110032363
139,7th Phase JP Nagar,2,1000.0,2.0,53.0,5300.0
140,7th Phase JP Nagar,3,1680.0,3.0,125.0,7440.476190476191
141,7th Phase JP Nagar,3,1675.0,2.0,135.0,8059.701492537313
142,7th Phase JP Nagar,2,1187.0,2.0,59.0,4970.513900589722
143,7th Phase JP Nagar,3,1850.0,3.0,155.0,8378.378378378378
144,7th Phase JP Nagar,2,1000.0,2.0,61.0,6100.0
145,7th Phase JP Nagar,3,1460.0,2.0,100.0,6849.315068493151
146,7th Phase JP Nagar,3,1650.0,3.0,110.0,6666.666666666667
147,7th Phase JP Nagar,2,1200.0,2.0,62.5,5208.333333333333
148,7th Phase JP Nagar,2,1000.0,2.0,70.65,7065.000000000001
149,7th Phase JP Nagar,2,1080.0,2.0,75.0,6944.444444444444
150,7th Phase JP Nagar,3,1415.0,3.0,65.0,4593.639575971732
151,7th Phase JP Nagar,3,1680.0,3.0,125.0,7440.476190476191
152,7th Phase JP Nagar,3,1460.0,2.0,97.0,6643.835616438356
153,7th Phase JP Nagar,2,1120.0,2.0,65.0,5803.571428571428
154,7th Phase JP Nagar,2,1100.0,3.0,60.0,5454.545454545455
155,7th Phase JP Nagar,3,1790.0,3.0,120.0,6703.91061452514
156,7th Phase JP Nagar,3,1680.0,3.0,117.0,6964.285714285715
157,7th Phase JP Nagar,2,1050.0,2.0,77.0,7333.333333333333
158,7th Phase JP Nagar,2,1050.0,2.0,75.0,7142.857142857143
159,7th Phase JP Nagar,2,1040.0,2.0,75.0,7211.538461538462
160,7th Phase JP Nagar,3,1400.0,2.0,95.0,6785.714285714285
161,7th Phase JP Nagar,3,1800.0,3.0,130.0,7222.222222222223
162,7th Phase JP Nagar,2,1050.0,2.0,68.0,6476.190476190476
163,7th Phase JP Nagar,2,1000.0,2.0,60.0,6000.0
164,7th Phase JP Nagar,3,1680.0,3.0,125.0,7440.476190476191
165,7th Phase JP Nagar,2,1050.0,2.0,77.47,7378.0952380952385
166,7th Phase JP Nagar,2,1270.0,2.0,80.0,6299.212598425197
167,7th Phase JP Nagar,3,1463.0,2.0,61.45,4200.273410799727
168,7th Phase JP Nagar,3,1680.0,3.0,122.0,7261.9047619047615
169,7th Phase JP Nagar,2,1130.0,2.0,85.0,7522.123893805309
170,7th Phase JP Nagar,3,1680.0,3.0,130.0,7738.0952380952385
171,7th Phase JP Nagar,2,980.0,2.0,77.44,7902.040816326531
172,7th Phase JP Nagar,3,1680.0,3.0,112.0,6666.666666666667
173,7th Phase JP Nagar,3,1515.0,2.0,76.0,5016.501650165016
174,7th Phase JP Nagar,3,2095.0,3.0,150.0,7159.904534606205
175,7th Phase JP Nagar,3,1976.0,3.0,145.0,7338.056680161943
176,7th Phase JP Nagar,3,1600.0,2.0,110.0,6875.0
177,7th Phase JP Nagar,3,1765.0,3.0,118.0,6685.552407932011
178,7th Phase JP Nagar,3,1275.0,2.0,88.0,6901.9607843137255
179,7th Phase JP Nagar,3,1450.0,2.0,102.0,7034.482758620689
180,7th Phase JP Nagar,3,1575.0,2.0,110.0,6984.126984126984
181,7th Phase JP Nagar,3,1075.0,2.0,57.0,5302.325581395349
182,7th Phase JP Nagar,1,750.0,1.0,47.0,6266.666666666667
183,7th Phase JP Nagar,2,990.0,2.0,50.0,5050.50505050505
184,7th Phase JP Nagar,1,1000.0,1.0,60.0,6000.0
185,7th Phase JP Nagar,3,1680.0,2.0,92.0,5476.190476190476
186,7th Phase JP Nagar,3,1430.0,2.0,102.0,7132.867132867133
187,7th Phase JP Nagar,2,1128.0,2.0,60.0,5319.148936170212
188,7th Phase JP Nagar,2,1140.0,2.0,57.0,5000.0
189,7th Phase JP Nagar,3,1420.0,3.0,90.0,6338.028169014085
190,7th Phase JP Nagar,2,1530.0,2.0,108.0,7058.823529411765
191,8th Phase JP Nagar,2,1073.5,2.0,54.005,5030.740568234746
192,8th Phase JP Nagar,1,451.0,1.0,29.9,6629.711751662971
193,8th Phase JP Nagar,3,1240.0,3.0,43.5,3508.064516129032
194,8th Phase JP Nagar,2,1062.0,2.0,42.47,3999.0583804143125
195,8th Phase JP Nagar,3,1230.0,2.0,43.5,3536.5853658536585
196,8th Phase JP Nagar,3,1455.0,3.0,73.31,5038.487972508591
197,8th Phase JP Nagar,2,871.0,2.0,55.0,6314.580941446613
198,8th Phase JP Nagar,2,1098.0,2.0,43.91,3999.089253187614
199,8th Phase JP Nagar,3,1800.0,3.0,80.0,4444.444444444444
200,8th Phase JP Nagar,4,2700.0,4.0,130.0,4814.814814814815
201,8th Phase JP Nagar,2,1080.0,2.0,38.0,3518.5185185185187
202,8th Phase JP Nagar,2,1059.0,2.0,34.5,3257.790368271955
203,8th Phase JP Nagar,2,1080.0,2.0,35.0,3240.740740740741
204,8th Phase JP Nagar,3,1275.0,2.0,41.5,3254.901960784314
205,8th Phase JP Nagar,2,1062.0,2.0,42.47,3999.0583804143125
206,8th Phase JP Nagar,1,500.0,1.0,31.0,6200.0
207,8th Phase JP Nagar,2,1100.0,2.0,35.0,3181.818181818182
208,8th Phase JP Nagar,4,2100.0,4.0,92.0,4380.952380952381
209,8th Phase JP Nagar,2,1035.0,2.0,39.33,3800.0
210,8th Phase JP Nagar,2,909.0,2.0,40.9,4499.4499449945
211,8th Phase JP Nagar,3,1431.5,3.0,72.02,5031.086273140063
212,8th Phase JP Nagar,3,1900.0,4.0,90.0,4736.8421052631575
213,8th Phase JP Nagar,1,500.0,1.0,30.0,6000.0
214,8th Phase JP Nagar,2,1125.0,2.0,36.94,3283.5555555555557
215,8th Phase JP Nagar,2,1100.0,2.0,35.0,3181.818181818182
216,8th Phase JP Nagar,2,1089.0,2.0,43.55,3999.0817263544536
217,8th Phase JP Nagar,3,1605.0,2.0,65.0,4049.8442367601247
218,8th Phase JP Nagar,3,1504.0,2.0,83.0,5518.617021276596
219,8th Phase JP Nagar,4,2600.0,4.0,115.0,4423.076923076923
220,8th Phase JP Nagar,3,1368.0,2.0,54.71,3999.2690058479534
221,8th Phase JP Nagar,2,1089.0,2.0,43.55,3999.0817263544536
222,8th Phase JP Nagar,3,1224.0,2.0,48.95,3999.1830065359477
223,8th Phase JP Nagar,2,1513.0,2.0,62.0,4097.818902842036
224,8th Phase JP Nagar,2,1298.0,2.0,59.0,4545.454545454545
225,8th Phase JP Nagar,2,1006.0,2.0,44.0,4373.75745526839
226,8th Phase JP Nagar,1,500.0,1.0,33.0,6600.0
227,8th Phase JP Nagar,2,1160.0,2.0,95.0,8189.6551724137935
228,8th Phase JP Nagar,2,1245.0,2.0,59.0,4738.955823293173
229,8th Phase JP Nagar,2,1510.0,2.0,80.0,5298.013245033113
230,8th Phase JP Nagar,3,3300.0,3.0,165.0,5000.0
231,8th Phase JP Nagar,5,1730.0,5.0,75.0,4335.260115606937
232,8th Phase JP Nagar,3,1296.0,2.0,51.83,3999.2283950617284
233,8th Phase JP Nagar,3,1275.0,3.0,45.0,3529.4117647058824
234,8th Phase JP Nagar,2,1046.0,2.0,48.0,4588.910133843212
235,8th Phase JP Nagar,3,1269.0,2.0,50.75,3999.211977935382
236,8th Phase JP Nagar,3,1408.0,3.0,80.0,5681.818181818182
237,8th Phase JP Nagar,3,1500.0,2.0,55.0,3666.6666666666665
238,9th Phase JP Nagar,2,1005.0,2.0,50.0,4975.124378109453
239,9th Phase JP Nagar,3,1890.0,2.0,85.0,4497.354497354498
240,9th Phase JP Nagar,2,1100.0,2.0,65.0,5909.090909090909
241,9th Phase JP Nagar,2,1080.0,2.0,37.0,3425.925925925926
242,9th Phase JP Nagar,2,1035.0,2.0,45.0,4347.826086956522
243,9th Phase JP Nagar,4,5000.0,4.0,290.0,5800.0
244,9th Phase JP Nagar,2,1164.0,2.0,56.0,4810.996563573884
245,9th Phase JP Nagar,2,1005.0,2.0,42.0,4179.104477611941
246,9th Phase JP Nagar,2,1127.0,2.0,50.0,4436.557231588287
247,9th Phase JP Nagar,2,1005.0,2.0,43.0,4278.606965174129
248,9th Phase JP Nagar,2,835.0,2.0,37.0,4431.137724550898
249,9th Phase JP Nagar,2,1050.0,2.0,39.0,3714.285714285714
250,9th Phase JP Nagar,2,660.0,2.0,27.0,4090.909090909091
251,9th Phase JP Nagar,1,600.0,1.0,20.0,3333.3333333333335
252,9th Phase JP Nagar,2,1466.0,2.0,71.0,4843.110504774898
253,9th Phase JP Nagar,3,1890.0,2.0,93.0,4920.6349206349205
254,9th Phase JP Nagar,2,1079.0,2.0,60.0,5560.704355885079
255,9th Phase JP Nagar,2,1480.0,2.0,80.0,5405.405405405405
256,9th Phase JP Nagar,2,1200.0,2.0,80.0,6666.666666666667
257,9th Phase JP Nagar,2,905.0,2.0,32.0,3535.9116022099447
258,9th Phase JP Nagar,2,1073.0,2.0,52.36,4879.77632805219
259,9th Phase JP Nagar,3,1719.3,2.0,88.0,5118.362124120282
260,9th Phase JP Nagar,3,1780.0,3.0,88.0,4943.820224719101
261,9th Phase JP Nagar,3,1300.0,2.0,58.0,4461.538461538462
262,9th Phase JP Nagar,3,1522.0,3.0,90.0,5913.272010512484
263,9th Phase JP Nagar,3,1571.0,3.0,65.0,4137.492043284532
264,9th Phase JP Nagar,4,1900.0,4.0,80.0,4210.526315789473
265,9th Phase JP Nagar,2,890.0,2.0,45.0,5056.179775280899
266,9th Phase JP Nagar,3,1240.0,2.0,39.89,3216.935483870968
267,9th Phase JP Nagar,4,5000.0,4.0,300.0,6000.0
268,9th Phase JP Nagar,3,1240.0,2.0,42.85,3455.6451612903224
269,9th Phase JP Nagar,2,1050.0,2.0,35.0,3333.3333333333335
270,9th Phase JP Nagar,2,1331.95,2.0,69.0,5180.374638687638
271,AECS Layout,2,1100.0,2.0,45.0,4090.909090909091
272,AECS Layout,2,1028.0,2.0,42.0,4085.603112840467
273,AECS Layout,2,1199.0,2.0,65.0,5421.184320266889
274,AECS Layout,2,1080.0,2.0,55.0,5092.592592592592
275,AECS Layout,2,1123.0,2.0,64.0,5699.020480854853
276,AECS Layout,2,1308.0,2.0,60.0,4587.155963302752
277,AECS Layout,2,1005.0,2.0,55.0,5472.636815920398
278,AECS Layout,3,2000.0,3.0,90.0,4500.0
279,Abbigere,2,985.0,2.0,40.39,4100.507614213198
280,Abbigere,6,2200.0,6.0,68.0,3090.909090909091
281,Abbigere,1,765.0,2.0,30.0,3921.5686274509803
282,Abbigere,2,880.0,2.0,35.0,3977.2727272727275
283,Abbigere,2,795.0,2.0,32.54,4093.0817610062895
284,Abbigere,2,1005.0,2.0,39.59,3939.303482587065
285,Abbigere,1,734.0,1.0,19.82,2700.272479564033
286,Abbigere,3,1260.0,2.0,45.0,3571.4285714285716
287,Abbigere,2,1020.0,2.0,41.82,4100.0
288,Abbigere,2,985.0,2.0,40.39,4100.507614213198
289,Abbigere,6,2500.0,6.0,81.0,3240.0
290,Abbigere,2,795.0,2.0,32.54,4093.0817610062895
291,Abbigere,2,1130.0,2.0,46.33,4100.0
292,Abbigere,2,795.0,1.0,32.6,4100.62893081761
293,Abbigere,8,3000.0,8.0,150.0,5000.0
294,Abbigere,2,985.0,2.0,38.92,3951.269035532995
295,Abbigere,2,1000.0,2.0,41.0,4100.0
296,Abbigere,2,995.0,2.0,40.8,4100.5025125628135
297,Abbigere,2,1020.0,2.0,40.8,3999.9999999999995
298,Akshaya Nagar,2,1388.0,2.0,57.0,4106.628242074928
299,Akshaya Nagar,2,1070.0,2.0,54.0,5046.728971962617
300,Akshaya Nagar,2,1280.0,2.0,58.0,4531.25
301,Akshaya Nagar,3,1662.0,3.0,85.1,5120.336943441636
302,Akshaya Nagar,3,1897.0,3.0,120.0,6325.77754348972
303,Akshaya Nagar,3,1410.0,2.0,75.0,5319.148936170212
304,Akshaya Nagar,3,1360.0,2.0,85.0,6250.0
305,Akshaya Nagar,3,1600.0,2.0,65.0,4062.5
306,Akshaya Nagar,3,1410.0,2.0,80.0,5673.758865248227
307,Akshaya Nagar,3,1662.0,3.0,85.0,5114.320096269555
308,Akshaya Nagar,3,1662.0,3.0,85.5,5144.404332129964
309,Akshaya Nagar,2,1280.0,2.0,60.0,4687.5
310,Akshaya Nagar,3,1666.0,3.0,95.0,5702.280912364946
311,Akshaya Nagar,3,1575.0,3.0,90.0,5714.285714285715
312,Akshaya Nagar,3,1430.0,2.0,75.0,5244.755244755244
313,Akshaya Nagar,3,1419.0,2.0,73.0,5144.46793516561
314,Akshaya Nagar,2,1280.0,2.0,60.0,4687.5
315,Akshaya Nagar,2,1200.0,2.0,50.0,4166.666666666667
316,Akshaya Nagar,2,1092.0,2.0,60.0,5494.505494505494
317,Akshaya Nagar,3,1690.0,3.0,85.0,5029.585798816568
318,Akshaya Nagar,3,1700.0,3.0,80.0,4705.882352941177
319,Akshaya Nagar,3,1897.0,4.0,93.0,4902.477596204533
320,Akshaya Nagar,3,1884.0,3.0,98.0,5201.698513800425
321,Akshaya Nagar,2,1314.0,2.0,68.8,5235.920852359209
322,Akshaya Nagar,3,1690.0,3.0,85.0,5029.585798816568
323,Akshaya Nagar,2,1265.0,2.0,67.0,5296.442687747036
324,Akshaya Nagar,2,1126.0,2.0,55.0,4884.547069271758
325,Akshaya Nagar,3,2300.0,4.0,102.0,4434.782608695652
326,Akshaya Nagar,3,1662.0,3.0,90.0,5415.162454873646
327,Akshaya Nagar,3,1420.0,2.0,75.0,5281.69014084507
328,Akshaya Nagar,3,1412.0,2.0,88.0,6232.294617563739
329,Akshaya Nagar,3,1434.0,3.0,84.0,5857.740585774059
330,Akshaya Nagar,3,1890.0,4.0,100.0,5291.005291005291
331,Akshaya Nagar,3,2650.0,3.0,125.0,4716.981132075472
332,Akshaya Nagar,3,1419.0,2.0,87.0,6131.0782241014795
333,Akshaya Nagar,2,1300.0,2.0,54.0,4153.846153846154
334,Akshaya Nagar,3,1690.0,3.0,85.0,5029.585798816568
335,Akshaya Nagar,2,1113.0,2.0,52.0,4672.057502246182
336,Akshaya Nagar,3,1820.0,4.0,95.0,5219.780219780219
337,Akshaya Nagar,2,1100.0,2.0,48.0,4363.636363636364
338,Akshaya Nagar,3,1896.0,3.0,102.0,5379.7468354430375
339,Akshaya Nagar,2,1300.0,2.0,66.0,5076.923076923077
340,Akshaya Nagar,2,1225.0,2.0,68.0,5551.0204081632655
341,Akshaya Nagar,2,1179.0,2.0,51.0,4325.699745547074
342,Akshaya Nagar,3,1421.0,2.0,73.0,5137.227304714989
343,Akshaya Nagar,3,1893.0,4.0,95.0,5018.489170628632
344,Akshaya Nagar,2,900.0,2.0,45.0,5000.0
345,Ambalipura,2,1105.0,2.0,75.0,6787.330316742082
346,Ambalipura,3,1800.0,3.0,110.0,6111.111111111111
347,Ambalipura,2,1150.0,2.0,80.0,6956.521739130435
348,Ambalipura,2,1250.0,2.0,66.25,5300.0
349,Ambalipura,2,1332.0,2.0,79.0,5930.930930930931
350,Ambalipura,3,1730.0,3.0,120.0,6936.416184971098
351,Ambalipura,3,3500.0,3.0,198.0,5657.142857142857
352,Ambalipura,2,1230.0,2.0,66.25,5386.178861788618
353,Ambalipura,2,1351.0,2.0,77.0,5699.481865284974
354,Ambalipura,4,2550.0,4.0,149.0,5843.137254901961
355,Ambalipura,3,1817.0,3.0,102.0,5613.648871766648
356,Ambalipura,4,2750.0,4.0,142.0,5163.636363636364
357,Ambalipura,2,1303.0,2.0,80.0,6139.677666922486
358,Ambalipura,3,1607.0,2.0,112.0,6969.508400746733
359,Ambalipura,1,770.0,1.0,43.82,5690.909090909091
360,Ambalipura,2,1700.0,2.0,76.0,4470.588235294118
361,Ambalipura,2,1060.0,2.0,58.5,5518.867924528302
362,Ambalipura,3,1650.0,3.0,100.0,6060.606060606061
363,Ambalipura,3,1607.0,2.0,112.0,6969.508400746733
364,Ambalipura,2,1198.0,2.0,80.0,6677.79632721202
365,Ambedkar Nagar,3,1935.0,4.0,130.0,6718.3462532299745
366,Ambedkar Nagar,2,1424.0,2.0,90.0,6320.224719101124
367,Ambedkar Nagar,3,2225.0,4.0,169.0,7595.505617977528
368,Ambedkar Nagar,3,1862.0,3.0,120.0,6444.68313641246
369,Ambedkar Nagar,3,1850.0,4.0,139.0,7513.513513513513
370,Ambedkar Nagar,3,1936.0,4.0,126.0,6508.264462809917
371,Ambedkar Nagar,3,1862.0,3.0,119.0,6390.977443609023
372,Ambedkar Nagar,2,1424.0,2.0,90.0,6320.224719101124
373,Ambedkar Nagar,3,2150.0,4.0,125.0,5813.953488372093
374,Ambedkar Nagar,4,3530.0,4.0,290.0,8215.297450424929
375,Ambedkar Nagar,3,1856.0,3.0,120.0,6465.517241379311
376,Ambedkar Nagar,3,1852.0,3.0,130.0,7019.438444924406
377,Ambedkar Nagar,3,1850.0,4.0,120.0,6486.486486486487
378,Ambedkar Nagar,2,1367.0,2.0,86.0,6291.148500365764
379,Ambedkar Nagar,4,3565.0,4.0,255.0,7152.875175315568
380,Ambedkar Nagar,2,1409.0,2.0,95.0,6742.370475514549
381,Ambedkar Nagar,3,1950.0,4.0,120.0,6153.846153846154
382,Ambedkar Nagar,3,1921.0,4.0,129.0,6715.252472670484
383,Ambedkar Nagar,3,1920.0,4.0,121.0,6302.083333333333
384,Ambedkar Nagar,3,1935.0,4.0,125.0,6459.948320413437
385,Ambedkar Nagar,3,1852.0,4.0,122.0,6587.473002159827
386,Ambedkar Nagar,3,1950.0,4.0,120.0,6153.846153846154
387,Ambedkar Nagar,3,1852.0,3.0,125.0,6749.460043196545
388,Ambedkar Nagar,3,1850.0,4.0,121.0,6540.540540540541
