,location,bhk,total_area,bath,balcony,price,price_per_sqft
51,5th Phase JP Nagar,2,1256.0,2.0,1.0,6280000.0,5000.0
52,5th Phase JP Nagar,2,1000.0,2.0,0.0,4800000.0,4800.0
53,5th Phase JP Nagar,3,1350.0,2.0,1.0,7500000.0,5555.555555555556
54,5th Phase JP Nagar,1,552.0,1.0,1.0,2350000.0,4257.246376811594
55,5th Phase JP Nagar,2,1200.0,2.0,2.0,5100000.0,4250.0
56,5th Phase JP Nagar,3,1240.0,3.0,2.0,6000000.0,4838.709677419355
57,5th Phase JP Nagar,3,1550.0,3.0,3.0,7500000.0,4838.709677419355
58,5th Phase JP Nagar,3,1485.0,2.0,1.0,6600000.0,4444.444444444444
59,5th Phase JP Nagar,2,1030.0,2.0,2.0,5700000.0,5533.980582524272
60,5th Phase JP Nagar,2,1200.0,2.0,1.0,6800000.0,5666.666666666667
61,5th Phase JP Nagar,2,1190.0,2.0,2.0,6180000.0,5193.27731092437
62,5th Phase JP Nagar,5,4000.0,5.0,2.0,17000000.0,4250.0
63,5th Phase JP Nagar,2,1080.0,2.0,1.0,5300000.0,4907.407407407408
64,5th Phase JP Nagar,2,1041.0,2.0,2.0,5400000.0,5187.319884726225
65,5th Phase JP Nagar,2,812.0,2.0,1.0,4200000.0,5172.413793103448
66,5th Phase JP Nagar,2,1010.0,2.0,2.0,5700000.0,5643.564356435643
67,5th Phase JP Nagar,3,1450.0,2.0,2.0,7300000.0,5034.482758620689
68,5th Phase JP Nagar,2,1075.0,2.0,2.0,6000000.0,5581.395348837209
69,6th Phase JP Nagar,2,1192.0,2.0,2.0,7400000.0,6208.053691275168
70,6th Phase JP Nagar,2,1180.0,2.0,3.0,8000000.0,6779.661016949152
71,6th Phase JP Nagar,4,3245.0,4.0,1.0,25000000.0,7704.160246533128
72,6th Phase JP Nagar,3,1645.0,3.0,3.0,10000000.0,6079.0273556231
73,6th Phase JP Nagar,2,1140.0,2.0,2.0,6500000.0,5701.754385964912
75,6th Phase JP Nagar,2,1213.0,2.0,1.0,6300000.0,5193.734542456719
76,6th Phase JP Nagar,2,1460.0,2.0,1.0,8000000.0,5479.45205479452
77,6th Phase JP Nagar,3,1810.0,3.0,3.0,13100000.0,7237.5690607734805
78,6th Phase JP Nagar,2,1192.0,2.0,3.0,7500000.0,6291.946308724832
79,6th Phase JP Nagar,2,1280.0,2.0,1.0,8800000.0,6875.0
80,7th Phase JP Nagar,2,1080.0,2.0,2.0,7200000.0,6666.666666666667
81,7th Phase JP Nagar,2,1270.0,2.0,2.0,9300000.0,7322.834645669292
82,7th Phase JP Nagar,3,1420.0,2.0,1.0,10000000.0,7042.2535211267605
83,7th Phase JP Nagar,2,1245.0,2.0,1.0,9400000.0,7550.2008032128515
84,7th Phase JP Nagar,2,1175.0,2.0,1.0,8200000.0,6978.723404255319
85,7th Phase JP Nagar,3,1400.0,2.0,1.0,9500000.0,6785.714285714285
86,7th Phase JP Nagar,3,2225.0,3.0,1.0,16000000.0,7191.011235955056
87,7th Phase JP Nagar,2,1050.0,2.0,1.0,7100000.0,6761.9047619047615
88,7th Phase JP Nagar,2,918.0,2.0,1.0,5049000.0,5500.0
89,7th Phase JP Nagar,3,1450.0,2.0,1.0,10000000.0,6896.551724137931
90,7th Phase JP Nagar,3,1420.0,2.0,2.0,9600000.0,6760.56338028169
91,7th Phase JP Nagar,3,1680.0,3.0,2.0,12000000.0,7142.857142857143
92,7th Phase JP Nagar,2,980.0,2.0,2.0,6900000.0,7040.816326530612
93,7th Phase JP Nagar,2,1180.0,2.0,2.0,7200000.0,6101.6949152542375
94,7th Phase JP Nagar,3,1050.0,2.0,1.0,5700000.0,5428.571428571428
95,7th Phase JP Nagar,2,1270.0,2.0,1.0,8300000.0,6535.433070866142
96,7th Phase JP Nagar,4,2503.0,4.0,0.0,18800000.0,7510.986815821015
97,7th Phase JP Nagar,3,1250.0,3.0,2.0,6500000.0,5200.0
98,7th Phase JP Nagar,3,1575.0,2.0,2.0,11000000.0,6984.126984126984
99,7th Phase JP Nagar,3,1680.0,3.0,2.0,12000000.0,7142.857142857143
100,7th Phase JP Nagar,2,1175.0,2.0,2.0,8250000.0,7021.276595744681
101,7th Phase JP Nagar,3,3300.0,4.0,3.0,16000000.0,4848.484848484848
102,7th Phase JP Nagar,3,2200.0,4.0,2.0,10500000.0,4772.727272727273
103,7th Phase JP Nagar,2,1215.0,2.0,2.0,9000000.0,7407.407407407408
104,7th Phase JP Nagar,2,1050.0,2.0,1.0,7500000.0,7142.857142857143
105,7th Phase JP Nagar,3,1300.0,3.0,2.0,8913000.0,6856.153846153846
106,7th Phase JP Nagar,2,1130.0,2.0,2.0,7300000.0,6460.1769911504425
107,7th Phase JP Nagar,3,1450.0,3.0,2.0,10000000.0,6896.551724137931
108,7th Phase JP Nagar,2,1050.0,2.0,1.0,5000000.0,4761.9047619047615
109,7th Phase JP Nagar,2,1275.0,2.0,1.0,8700000.0,6823.529411764706
110,7th Phase JP Nagar,3,1460.0,3.0,1.0,7000000.0,4794.520547945205
111,7th Phase JP Nagar,3,1650.0,3.0,2.0,11000000.0,6666.666666666667
112,7th Phase JP Nagar,2,850.0,2.0,2.0,4200000.0,4941.176470588235
113,7th Phase JP Nagar,3,1680.0,3.0,2.0,11700000.0,6964.285714285715
114,7th Phase JP Nagar,2,1236.0,2.0,2.0,6133000.0,4961.974110032363
115,7th Phase JP Nagar,2,1000.0,2.0,2.0,5300000.0,5300.0
116,7th Phase JP Nagar,3,1680.0,3.0,2.0,12500000.0,7440.476190476191
117,7th Phase JP Nagar,2,1187.0,2.0,1.0,5900000.0,4970.513900589722
118,7th Phase JP Nagar,2,1000.0,2.0,1.0,6100000.0,6100.0
119,7th Phase JP Nagar,3,1460.0,2.0,2.0,10000000.0,6849.315068493151
120,7th Phase JP Nagar,3,1650.0,3.0,3.0,11000000.0,6666.666666666667
121,7th Phase JP Nagar,2,1200.0,2.0,2.0,6250000.0,5208.333333333333
122,7th Phase JP Nagar,2,1000.0,2.0,1.0,7065000.000000001,7065.000000000001
123,7th Phase JP Nagar,2,1080.0,2.0,2.0,7500000.0,6944.444444444444
124,7th Phase JP Nagar,3,1680.0,3.0,3.0,12500000.0,7440.476190476191
125,7th Phase JP Nagar,3,1460.0,2.0,1.0,9700000.0,6643.835616438356
126,7th Phase JP Nagar,2,1120.0,2.0,2.0,6500000.0,5803.571428571428
127,7th Phase JP Nagar,2,1100.0,3.0,1.0,6000000.0,5454.545454545455
128,7th Phase JP Nagar,3,1790.0,3.0,3.0,12000000.0,6703.91061452514
129,7th Phase JP Nagar,3,1680.0,3.0,2.0,11700000.0,6964.285714285715
130,7th Phase JP Nagar,2,1050.0,2.0,1.0,7700000.0,7333.333333333333
131,7th Phase JP Nagar,2,1050.0,2.0,1.0,7500000.0,7142.857142857143
132,7th Phase JP Nagar,2,1040.0,2.0,1.0,7500000.0,7211.538461538462
133,7th Phase JP Nagar,3,1400.0,2.0,1.0,9500000.0,6785.714285714285
134,7th Phase JP Nagar,3,1800.0,3.0,2.0,13000000.0,7222.222222222223
135,7th Phase JP Nagar,2,1050.0,2.0,0.0,6800000.0,6476.190476190476
136,7th Phase JP Nagar,2,1000.0,2.0,2.0,6000000.0,6000.0
137,7th Phase JP Nagar,3,1680.0,3.0,2.0,12500000.0,7440.476190476191
138,7th Phase JP Nagar,2,1050.0,2.0,1.0,7747000.0,7378.0952380952385
139,7th Phase JP Nagar,2,1270.0,2.0,1.0,8000000.0,6299.212598425197
140,7th Phase JP Nagar,3,1680.0,3.0,2.0,12200000.0,7261.9047619047615
141,7th Phase JP Nagar,2,1130.0,2.0,2.0,8500000.0,7522.123893805309
142,7th Phase JP Nagar,3,1680.0,3.0,2.0,11200000.0,6666.666666666667
143,7th Phase JP Nagar,3,1515.0,2.0,1.0,7600000.0,5016.501650165016
144,7th Phase JP Nagar,3,2095.0,3.0,2.0,15000000.0,7159.904534606205
145,7th Phase JP Nagar,3,1976.0,3.0,1.0,14500000.0,7338.056680161943
146,7th Phase JP Nagar,3,1600.0,2.0,2.0,11000000.0,6875.0
147,7th Phase JP Nagar,3,1765.0,3.0,2.0,11800000.0,6685.552407932011
148,7th Phase JP Nagar,3,1275.0,2.0,2.0,8800000.0,6901.9607843137255
149,7th Phase JP Nagar,3,1450.0,2.0,1.0,10200000.0,7034.482758620689
150,7th Phase JP Nagar,3,1575.0,2.0,2.0,11000000.0,6984.126984126984
151,7th Phase JP Nagar,3,1075.0,2.0,1.0,5700000.0,5302.325581395349
152,7th Phase JP Nagar,1,750.0,1.0,2.0,4700000.0,6266.666666666667
153,7th Phase JP Nagar,2,990.0,2.0,2.0,5000000.0,5050.50505050505
154,7th Phase JP Nagar,1,1000.0,1.0,1.0,6000000.0,6000.0
155,7th Phase JP Nagar,3,1680.0,2.0,3.0,9200000.0,5476.190476190476
156,7th Phase JP Nagar,3,1430.0,2.0,1.0,10200000.0,7132.867132867133
157,7th Phase JP Nagar,2,1128.0,2.0,1.0,6000000.0,5319.148936170212
158,7th Phase JP Nagar,2,1140.0,2.0,1.0,5700000.0,5000.0
159,7th Phase JP Nagar,3,1420.0,3.0,2.0,9000000.0,6338.028169014085
160,7th Phase JP Nagar,2,1530.0,2.0,1.0,10800000.0,7058.823529411765
161,8th Phase JP Nagar,2,1073.5,2.0,0.0,5400500.0,5030.740568234746
162,8th Phase JP Nagar,3,1240.0,3.0,2.0,4350000.0,3508.064516129032
163,8th Phase JP Nagar,2,1062.0,2.0,1.0,4247000.0,3999.0583804143125
164,8th Phase JP Nagar,3,1230.0,2.0,2.0,4350000.0,3536.5853658536585
165,8th Phase JP Nagar,3,1455.0,3.0,2.0,7331000.0,5038.487972508591
166,8th Phase JP Nagar,2,1098.0,2.0,1.0,4391000.0,3999.089253187614
167,8th Phase JP Nagar,3,1800.0,3.0,1.0,8000000.0,4444.444444444444
168,8th Phase JP Nagar,4,2700.0,4.0,2.0,13000000.0,4814.814814814815
169,8th Phase JP Nagar,2,1080.0,2.0,2.0,3800000.0,3518.5185185185187
170,8th Phase JP Nagar,2,1062.0,2.0,1.0,4247000.0,3999.0583804143125
171,8th Phase JP Nagar,4,2100.0,4.0,3.0,9200000.0,4380.952380952381
172,8th Phase JP Nagar,2,1035.0,2.0,1.0,3933000.0,3800.0
173,8th Phase JP Nagar,2,909.0,2.0,1.0,4090000.0,4499.4499449945
174,8th Phase JP Nagar,3,1431.5,3.0,0.0,7202000.0,5031.086273140063
175,8th Phase JP Nagar,3,1900.0,4.0,1.0,9000000.0,4736.8421052631575
176,8th Phase JP Nagar,2,1089.0,2.0,1.0,4355000.0,3999.0817263544536
177,8th Phase JP Nagar,3,1605.0,2.0,2.0,6500000.0,4049.8442367601247
178,8th Phase JP Nagar,3,1504.0,2.0,2.0,8300000.0,5518.617021276596
179,8th Phase JP Nagar,4,2600.0,4.0,2.0,11500000.0,4423.076923076923
180,8th Phase JP Nagar,3,1368.0,2.0,1.0,5471000.0,3999.2690058479534
181,8th Phase JP Nagar,2,1089.0,2.0,1.0,4355000.0,3999.0817263544536
182,8th Phase JP Nagar,3,1224.0,2.0,2.0,4895000.0,3999.1830065359477
183,8th Phase JP Nagar,2,1513.0,2.0,3.0,6200000.0,4097.818902842036
184,8th Phase JP Nagar,2,1298.0,2.0,1.0,5900000.0,4545.454545454545
185,8th Phase JP Nagar,2,1006.0,2.0,0.0,4400000.0,4373.75745526839
186,8th Phase JP Nagar,2,1245.0,2.0,1.0,5900000.0,4738.955823293173
187,8th Phase JP Nagar,2,1510.0,2.0,3.0,8000000.0,5298.013245033113
188,8th Phase JP Nagar,3,3300.0,3.0,2.0,16500000.0,5000.0
189,8th Phase JP Nagar,5,1730.0,5.0,2.0,7500000.0,4335.260115606937
190,8th Phase JP Nagar,3,1296.0,2.0,2.0,5183000.0,3999.2283950617284
191,8th Phase JP Nagar,3,1275.0,3.0,2.0,4500000.0,3529.4117647058824
192,8th Phase JP Nagar,2,1046.0,2.0,1.0,4800000.0,4588.910133843212
193,8th Phase JP Nagar,3,1269.0,2.0,3.0,5075000.0,3999.211977935382
194,8th Phase JP Nagar,3,1408.0,3.0,2.0,8000000.0,5681.818181818182
195,8th Phase JP Nagar,3,1500.0,2.0,3.0,5500000.0,3666.6666666666665
196,9th Phase JP Nagar,2,1005.0,2.0,1.0,5000000.0,4975.124378109453
197,9th Phase JP Nagar,3,1890.0,2.0,2.0,8500000.0,4497.354497354498
198,9th Phase JP Nagar,2,1035.0,2.0,1.0,4500000.0,4347.826086956522
199,9th Phase JP Nagar,4,5000.0,4.0,3.0,29000000.0,5800.0
200,9th Phase JP Nagar,2,1164.0,2.0,1.0,5600000.0,4810.996563573884
201,9th Phase JP Nagar,2,1005.0,2.0,1.0,4200000.0,4179.104477611941
202,9th Phase JP Nagar,2,1127.0,2.0,1.0,5000000.0,4436.557231588287
203,9th Phase JP Nagar,2,1005.0,2.0,1.0,4300000.0,4278.606965174129
204,9th Phase JP Nagar,2,835.0,2.0,0.0,3700000.0,4431.137724550898
205,9th Phase JP Nagar,2,1050.0,2.0,2.0,3900000.0,3714.285714285714
206,9th Phase JP Nagar,2,660.0,2.0,0.0,2700000.0,4090.909090909091
207,9th Phase JP Nagar,2,1466.0,2.0,2.0,7100000.0,4843.110504774898
208,9th Phase JP Nagar,3,1890.0,2.0,1.0,9300000.0,4920.6349206349205
209,9th Phase JP Nagar,2,1079.0,2.0,1.0,6000000.0,5560.704355885079
210,9th Phase JP Nagar,2,1480.0,2.0,1.0,8000000.0,5405.405405405405
211,9th Phase JP Nagar,2,1073.0,2.0,1.0,5236000.0,4879.77632805219
212,9th Phase JP Nagar,3,1719.3,2.0,2.0,8800000.0,5118.362124120282
213,9th Phase JP Nagar,3,1780.0,3.0,2.0,8800000.0,4943.820224719101
214,9th Phase JP Nagar,3,1300.0,2.0,2.0,5800000.0,4461.538461538462
215,9th Phase JP Nagar,3,1571.0,3.0,2.0,6500000.0,4137.492043284532
216,9th Phase JP Nagar,4,1900.0,4.0,2.0,8000000.0,4210.526315789473
217,9th Phase JP Nagar,2,890.0,2.0,2.0,4500000.0,5056.179775280899
218,9th Phase JP Nagar,2,1331.95,2.0,2.0,6900000.0,5180.374638687638
219,AECS Layout,2,1199.0,2.0,2.0,6500000.0,5421.184320266889
220,AECS Layout,2,1080.0,2.0,2.0,5500000.0,5092.592592592592
221,AECS Layout,2,1308.0,2.0,1.0,6000000.0,4587.155963302752
222,AECS Layout,3,2000.0,3.0,1.0,9000000.0,4500.0
223,Abbigere,2,985.0,2.0,1.0,4039000.0,4100.507614213198
224,Abbigere,1,765.0,2.0,2.0,3000000.0,3921.5686274509803
225,Abbigere,2,880.0,2.0,1.0,3500000.0,3977.2727272727275
226,Abbigere,2,795.0,2.0,1.0,3254000.0,4093.0817610062895
227,Abbigere,2,1005.0,2.0,1.0,3959000.0000000005,3939.303482587065
228,Abbigere,3,1260.0,2.0,1.0,4500000.0,3571.4285714285716
229,Abbigere,2,1020.0,2.0,1.0,4182000.0,4100.0
230,Abbigere,2,985.0,2.0,1.0,4039000.0,4100.507614213198
231,Abbigere,2,795.0,2.0,1.0,3254000.0,4093.0817610062895
232,Abbigere,2,1130.0,2.0,1.0,4633000.0,4100.0
233,Abbigere,2,795.0,1.0,1.0,3260000.0,4100.62893081761
234,Abbigere,2,985.0,2.0,1.0,3892000.0,3951.269035532995
235,Abbigere,2,1000.0,2.0,1.0,4100000.0,4100.0
236,Abbigere,2,995.0,2.0,1.0,4079999.9999999995,4100.5025125628135
237,Abbigere,2,1020.0,2.0,1.0,4079999.9999999995,3999.9999999999995
238,Akshaya Nagar,2,1070.0,2.0,1.0,5400000.0,5046.728971962617
239,Akshaya Nagar,3,1662.0,3.0,3.0,8510000.0,5120.336943441636
240,Akshaya Nagar,3,1410.0,2.0,2.0,7500000.0,5319.148936170212
241,Akshaya Nagar,3,1410.0,2.0,2.0,8000000.0,5673.758865248227
242,Akshaya Nagar,3,1662.0,3.0,2.0,8500000.0,5114.320096269555
243,Akshaya Nagar,3,1662.0,3.0,2.0,8550000.0,5144.404332129964
244,Akshaya Nagar,2,1280.0,2.0,1.0,6000000.0,4687.5
245,Akshaya Nagar,3,1666.0,3.0,1.0,9500000.0,5702.280912364946
246,Akshaya Nagar,3,1575.0,3.0,1.0,9000000.0,5714.285714285715
247,Akshaya Nagar,3,1430.0,2.0,2.0,7500000.0,5244.755244755244
248,Akshaya Nagar,3,1419.0,2.0,3.0,7300000.0,5144.46793516561
249,Akshaya Nagar,2,1280.0,2.0,1.0,6000000.0,4687.5
250,Akshaya Nagar,2,1092.0,2.0,1.0,6000000.0,5494.505494505494
251,Akshaya Nagar,3,1690.0,3.0,2.0,8500000.0,5029.585798816568
252,Akshaya Nagar,3,1700.0,3.0,1.0,8000000.0,4705.882352941177
253,Akshaya Nagar,3,1897.0,4.0,2.0,9300000.0,4902.477596204533
254,Akshaya Nagar,3,1884.0,3.0,3.0,9800000.0,5201.698513800425
255,Akshaya Nagar,2,1314.0,2.0,2.0,6880000.0,5235.920852359209
256,Akshaya Nagar,3,1690.0,3.0,2.0,8500000.0,5029.585798816568
257,Akshaya Nagar,2,1265.0,2.0,3.0,6700000.0,5296.442687747036
258,Akshaya Nagar,2,1126.0,2.0,1.0,5500000.0,4884.547069271758
259,Akshaya Nagar,3,1662.0,3.0,1.0,9000000.0,5415.162454873646
260,Akshaya Nagar,3,1420.0,2.0,2.0,7500000.0,5281.69014084507
261,Akshaya Nagar,3,1890.0,4.0,2.0,10000000.0,5291.005291005291
262,Akshaya Nagar,3,2650.0,3.0,2.0,12500000.0,4716.981132075472
263,Akshaya Nagar,3,1690.0,3.0,2.0,8500000.0,5029.585798816568
264,Akshaya Nagar,2,1113.0,2.0,1.0,5200000.0,4672.057502246182
265,Akshaya Nagar,3,1820.0,4.0,2.0,9500000.0,5219.780219780219
266,Akshaya Nagar,3,1896.0,3.0,2.0,10200000.0,5379.7468354430375
267,Akshaya Nagar,2,1300.0,2.0,2.0,6600000.0,5076.923076923077
268,Akshaya Nagar,2,1225.0,2.0,0.0,6800000.0,5551.0204081632655
269,Akshaya Nagar,3,1421.0,2.0,2.0,7300000.0,5137.227304714989
270,Akshaya Nagar,3,1893.0,4.0,2.0,9500000.0,5018.489170628632
271,Akshaya Nagar,2,900.0,2.0,1.0,4500000.0,5000.0
272,Ambalipura,3,1800.0,3.0,3.0,11000000.0,6111.111111111111
273,Ambalipura,2,1332.0,2.0,1.0,7900000.0,5930.930930930931
274,Ambalipura,3,3500.0,3.0,1.0,19800000.0,5657.142857142857
275,Ambalipura,2,1230.0,2.0,2.0,6625000.0,5386.178861788618
276,Ambalipura,2,1351.0,2.0,1.0,7700000.0,5699.481865284974
277,Ambalipura,4,2550.0,4.0,2.0,14900000.0,5843.137254901961
278,Ambalipura,3,1817.0,3.0,3.0,10200000.0,5613.648871766648
279,Ambalipura,2,1303.0,2.0,2.0,8000000.0,6139.677666922486
280,Ambalipura,1,770.0,1.0,2.0,4382000.0,5690.909090909091
281,Ambalipura,2,1060.0,2.0,1.0,5850000.0,5518.867924528302
282,Ambalipura,3,1650.0,3.0,3.0,10000000.0,6060.606060606061
283,Ambalipura,2,1198.0,2.0,2.0,8000000.0,6677.79632721202
284,Ambedkar Nagar,3,1935.0,4.0,2.0,13000000.0,6718.3462532299745
285,Ambedkar Nagar,2,1424.0,2.0,2.0,9000000.0,6320.224719101124
286,Ambedkar Nagar,3,1862.0,3.0,2.0,12000000.0,6444.68313641246
287,Ambedkar Nagar,3,1936.0,4.0,2.0,12600000.0,6508.264462809917
288,Ambedkar Nagar,3,1862.0,3.0,2.0,11900000.0,6390.977443609023
289,Ambedkar Nagar,2,1424.0,2.0,2.0,9000000.0,6320.224719101124
290,Ambedkar Nagar,3,1856.0,3.0,1.0,12000000.0,6465.517241379311
291,Ambedkar Nagar,3,1852.0,3.0,2.0,13000000.0,7019.438444924406
292,Ambedkar Nagar,3,1850.0,4.0,2.0,12000000.0,6486.486486486487
293,Ambedkar Nagar,2,1367.0,2.0,2.0,8600000.0,6291.148500365764
294,Ambedkar Nagar,2,1409.0,2.0,2.0,9500000.0,6742.370475514549
295,Ambedkar Nagar,3,1950.0,4.0,2.0,12000000.0,6153.846153846154
296,Ambedkar Nagar,3,1921.0,4.0,3.0,12900000.0,6715.252472670484
297,Ambedkar Nagar,3,1920.0,4.0,2.0,12100000.0,6302.083333333333
298,Ambedkar Nagar,3,1935.0,4.0,2.0,12500000.0,6459.948320413437
299,Ambedkar Nagar,3,1852.0,4.0,2.0,12200000.0,6587.473002159827
300,Ambedkar Nagar,3,1950.0,4.0,2.0,12000000.0,6153.846153846154
301,Ambedkar Nagar,3,1852.0,3.0,2.0,12500000.0,6749.460043196545
302,Ambedkar Nagar,3,1850.0,4.0,2.0,12100000.0,6540.540540540541
303,Ambedkar Nagar,2,1425.0,2.0,1.0,9400000.0,6596.491228070176
304,Ambedkar Nagar,3,2395.0,4.0,2.0,15000000.0,6263.048016701461
305,Amruthahalli,2,900.0,2.0,1.0,4000000.0,4444.444444444444
306,Amruthahalli,2,1200.0,2.0,2.0,5500000.0,4583.333333333333
307,Amruthahalli,2,924.0,2.0,1.0,4500000.0,4870.12987012987
308,Amruthahalli,2,1200.0,2.0,1.0,5500000.0,4583.333333333333
309,Amruthahalli,3,1350.0,2.0,3.0,6300000.0,4666.666666666667
310,Amruthahalli,3,1700.0,3.0,2.0,7700000.0,4529.411764705882
311,Amruthahalli,3,1450.0,2.0,1.0,8500000.0,5862.068965517241
312,Amruthahalli,2,1200.0,2.0,2.0,5500000.0,4583.333333333333
313,Amruthahalli,2,1190.0,2.0,2.0,5000000.0,4201.680672268908
314,Amruthahalli,2,1202.0,2.0,1.0,6500000.0,5407.65391014975
315,Amruthahalli,2,1340.0,2.0,1.0,7500000.0,5597.014925373134
316,Anandapura,2,1167.0,2.0,1.0,4376000.0,3749.7857754927163
317,Anandapura,2,1141.0,2.0,1.0,4279000.0,3750.219106047327
318,Anandapura,3,1576.0,3.0,2.0,5910000.0,3750.0
319,Anandapura,2,1200.0,2.0,1.0,5800000.0,4833.333333333333
320,Anandapura,2,1151.0,2.0,1.0,4310000.0,3744.5699391833186
321,Anandapura,2,1141.0,2.0,1.0,4275000.0,3746.7134092900965
322,Anandapura,2,900.0,2.0,0.0,4800000.0,5333.333333333333
323,Anandapura,4,1749.0,4.0,0.0,9000000.0,5145.797598627787
324,Anandapura,2,1151.0,2.0,1.0,4290000.0,3727.193744569939
325,Anandapura,3,1576.0,3.0,2.0,5800000.0,3680.203045685279
326,Anandapura,2,1151.0,2.0,1.0,4316000.0,3749.7827975673326
327,Anandapura,2,1200.0,2.0,0.0,5800000.0,4833.333333333333
328,Anandapura,3,1415.0,2.0,1.0,7400000.0,5229.681978798587
329,Anandapura,2,1200.0,2.0,1.0,5000000.0,4166.666666666667
330,Anandapura,2,1141.0,2.0,1.0,5000000.0,4382.120946538124
331,Anandapura,3,1576.0,3.0,2.0,5870000.0,3724.6192893401017
332,Ananth Nagar,1,500.0,1.0,1.0,1400000.0,2800.0
333,Ananth Nagar,2,1100.0,2.0,2.0,3150000.0,2863.6363636363635
334,Ananth Nagar,1,500.0,2.0,2.0,1400000.0,2800.0
335,Ananth Nagar,2,908.0,2.0,1.0,2600000.0,2863.4361233480176
336,Ananth Nagar,1,500.0,1.0,1.0,1400000.0,2800.0
337,Ananth Nagar,2,1000.0,2.0,1.0,2970000.0,2970.0
338,Ananth Nagar,2,850.0,2.0,1.0,2599000.0,3057.6470588235293
339,Ananth Nagar,2,902.0,2.0,1.0,2526000.0,2800.4434589800444
340,Ananth Nagar,2,810.0,2.0,1.0,2550000.0,3148.1481481481483
341,Ananth Nagar,2,890.0,2.0,1.0,2700000.0,3033.7078651685392
342,Ananth Nagar,2,1200.0,2.0,1.0,3600000.0,3000.0
343,Ananth Nagar,3,1319.0,3.0,1.0,3775000.0,2862.016679302502
344,Ananth Nagar,3,1319.0,3.0,1.0,4200000.0,3184.230477634572
345,Ananth Nagar,2,902.0,2.0,2.0,2500000.0,2771.6186252771618
346,Ananth Nagar,2,930.0,2.0,1.0,2599000.0,2794.6236559139784
347,Ananth Nagar,1,500.0,1.0,1.0,1400000.0,2800.0
